Name,Definition,Precedence for Test Approach,Notes
Accountability?,"The ""capability of a product to enable actions of an entity to be traced uniquely to the entity"" (ISO/IEC, 2023a)","Sub-quality of security (ISO/IEC, 2023a; IEEE, 2017, p. 404), which has an associated test type","A sub-quality of security (ISO/IEC, 2023a; IEEE, 2017, p. 404). See ISO 7498-2:1989"
Accuracy,"A ""qualitative assessment of correctness"" or ""quantitative measure of the magnitude of error"" (IEEE, 2013, p. 7)",,
Adaptability,"The ""capability of a product to be effectively and efficiently adapted for or transferred to different hardware, software or other operational or usage environments"" (ISO/IEC, 2023a)","Sub-quality of flexibility (ISO/IEC, 2023a), which has an associated test type","A sub-quality of flexibility (ISO/IEC, 2023a) or at the very least related (IEEE, 2017, p. 12), as well as of replaceability (ISO/IEC, 2023a). Inclusivity and user assistance can improve this (and flexibility), and this can improve user assistance and interaction capability (ISO/IEC, 2023a)"
"Analyzability (IEEE, 2017, p. 18) or Analysability (ISO/IEC 2023a)","The ""capability of a product to be effectively and efficiently assessed regarding the impact of an intended change to one or more of its parts, to diagnose it for deficiencies or causes of failures, or to identify parts to be modified"" (ISO/IEC, 2023a; similar in Washizaki, 2024, p. 7-10)","Sub-quality of maintainability (ISO/IEC, 2023a; Washizaki, 2024, p. 7-10), which has an associated test type","A sub-quality of maintainability (ISO/IEC, 2023a; Washizaki, 2024, p. 7-10) and related to modifiability (IEEE, 2017, p. 18)"
Appropriateness Recognizability,"The ""capability of a product to be recognized by users as appropriate for their needs … from initial impressions of the product or system and/or any associated documentation"" (ISO/IEC, 2023a)","Related to usability (Hamburg and Mogyorodi, 2024), originally as a sub-quality (ISO/IEC, 2011), which has an associated test type","Related to usability (Hamburg and Mogyorodi, 2024), originally as a sub-quality (ISO/IEC, 2011), and a sub-quality of interaction capability (ISO/IEC, 2023a). Potentially a synonym for understandability (Hamburg and Mogyorodi, 2024), although I disagree "
Authenticity,"The ""capability of a product to prove that the identity of a subject or resource is the one claimed"" (ISO/IEC 2023a)","Sub-quality of security (IEEE, 2017, p. 404), which has an associated test type","A sub-quality of security (IEEE, 2017, p. 404). See ISO/IEC 13335-1:2004"
Behavioral Compatibility,"""Identical behavior of two objects"" (IEEE, 2017, p. 43; OG IEEE, 2009)",,Subset of compatibility?
Changeability,,"Sub-quality of modifiability (ISO/IEC, 2023a) which is a sub-quality of maintainability (ISO/IEC, 2023a; Washizaki, 2024, p. 7-10), which has an associated test type","A sub-quality of modifiability (ISO/IEC, 2023a)"
Cohesion,"The ""manner and degree to which the tasks performed by a single software module are related to one another"" (IEEE, 2017, p. 74)",,"Has the following subcategories: ""coincidental, communicational, functional, logical, procedural, sequential, and temporal"" (IEEE, 2017, p. 74); also called ""module strength"" and related to coupling (IEEE, 2017, p. 74)"
Comfort,"The ""degree to which the user is satisfied with physical comfort"" (ISO/IEC, 2011)",,"Probably more oriented towards hardware systems, but may include screen brightness, colour constrast, volume levels, etc."
Complexity,"The ""degree to which a system or component has a design or implementation that is difficult to understand and verify"" (IEEE, 2017, p. 81)",,"A quality that software shouldn't have; constrasted with simplicity. Has the subcategory of ""functional"" (IEEE, 2017, p. 193)"
Conciseness,"The degree to which functions are implemented ""with a minimum amount of code"" (IEEE, 2017, p. 88)",,
Concurrency,"The ""property of a system in which events can occur independently of each other, and hence are not ordered"" (IEEE, 2017, p. 88; OG ISO/IEC, 2004)",,
Confidentiality,"The ""capability of a product to ensure that data are accessible only to those authorized to have access"" (ISO/IEC 2023a)","Sub-quality of security (ISO/IEC, 2023a; IEEE, 2017, p. 375), which has an associated test type","A sub-quality of security (ISO/IEC, 2023a; IEEE, 2017, p. 375)"
Connectivity,"The ""capability of a system or device to be attached to other systems or devices without modification"" (IEEE, 2017, p. 93; OG ISO/IEC, 2015; similar in Hamburg and Mogyorodi, 2024)",,See ISO 2382
Context Coverage,"The ""degree to which a product or system can be used with effectiveness, efficiency, freedom from risk and satisfaction in both specified contexts of use and in contexts beyond those initially explicitly identified""",,"Has the sub-qualities context completeness and flexibility (ISO/IEC, 2011)"
Context Completeness,"The ""degree to which a product or system can be used with effectiveness, efficiency, freedom from risk and satisfaction in all the specified contexts of use"" (ISO/IEC, 2011)",,"Implies the existence of a ""completeness"" supercategory, but is a sub-quality of ""context coverage"" (ISO/IEC, 2011)"
"Continuity (Washizaki, 2024, p. 6-7)",,"Given as a type of hardware testing (Firesmith, 2015, p. 21), which would make this an out-of-scope test approach ",
Correctability,"The ""degree of effort required to correct software defects and to cope with user complaints"" (IEEE, 2017, p. 104)",,"Related to maintainability/modifiability (and if so, implies testing type)?"
Coupling,"The ""manner and degree of interdependence between software modules"" or ""how closely connected … [they] are"" (IEEE, 2017, p. 107)",,"Has the following subcategories: ""common‐environment"", ""content"", ""control"", ""data"" (or ""input‐output"" (IEEE, 2017, p. 114)), ""hybrid"", and ""pathological"" (IEEE, 2017, p. 107). A related idea, ""decoupling"", seems to refer to a process rather than a quality (IEEE, 2017, p. 124)"
Cross-Browser Compatibility,"""The degree to which a website or web application can function across different browsers and degrade gracefully when browser features are absent or lacking"" (Hamburg and Mogyorodi, 2024)","Sub-quality of compatibility, which has an associated test type",A sub-quality of compatibility
Dependability,"The ""trustworthiness of a computer system such that reliance can be justifiably placed on the service it delivers"" (IEEE, 2017, p. 127; OG IEEE, 2005)","Performance testing exists, which may be a superset of this (IEEE, 2017, p. 127; OG ISO/IEC, 2013)","Related to ""availability performance and its influencing factors"" (IEEE, 2017, p. 127; OG ISO/IEC, 2013)"
Diversity,"The (amount/degree of?) ""realization of the same function by different means"" (IEEE, 2017, p. 143)",,"""Software diversity"" is described as a ""software development technique … with the intent of providing error detection, increased reliability, additional documentation, or reduced probability … [of] programming or compiler errors"" (IEEE, 2017, p. 421). See also ""homogeneous redundancy"" (IEEE, 2017, p. 207)"
Effectiveness,"The ""accuracy and completeness with which users achieve specified goals"" (ISO/IEC, 2011; similar in Hamburg and Mogyorodi, 2024)",,"Related to efficiency (Hamburg and Mogyorodi, 2024). See ISO 9241"
Expandability,"The ""degree of effort required to improve or modify software functions' efficiency"" (IEEE, 2017, p. 173)",,"Related to extendability (IEEE, 2017, p. 173)"
Extendability,"The ""ease with which a system or component can be modified to increase its storage or functional capacity"" (IEEE, 2017, p. 174)",,"Also called ""extensibility""; related to expandability, flexibility, and maintainability (IEEE, 2017, p. 174)"
Faultlessness,"The ""capability of a product to perform specified functions without fault under normal operation"" (ISO/IEC, 2023a)","Sub-quality of reliability (ISO/IEC, 2023a), which has an associated test type","A sub-quality of availability (IEEE, 2017, p. 38), reliability, and dependability; can also be applied to other qualities (ISO/IEC, 2023a)"
Freedom from Risk,"The ""degree to which a product or system mitigates the potential risk to economic status, human life, health, or the environment"" (ISO/IEC, 2011)",,"Has sub-qualities that are different varities of ""risk mitigation"": economic, health and safety, and environmental (ISO/IEC, 2011); these seem more like functional attributes than qualities"
Functional Appropriateness,"The ""capability of a product to provide functions that facilitate the accomplishment of specified tasks and objectives"" while ""excluding any unnecessary steps"" (ISO/IEC, 2023a)","Sub-quality of functional suitability (ISO/IEC, 2023a), which has an associated test type","Synonym of suitability (ISO/IEC, 2023a; see ISO 9241-110l; Hamburg and Mogyorodi, 2024) ""for the task"" (ISO/IEC, 2023a; see ISO 9241-110). A sub-quality of functional suitability (ISO/IEC, 2023a)"
Functional Completeness,"The ""capability of a product to provide a set of functions that covers all the specified tasks and intended users' objectives"" (ISO/IEC, 2023a)","Sub-quality of functional suitability (ISO/IEC, 2023a), which has an associated test type","A sub-quality of functional suitability (ISO/IEC, 2023a) and potentially completeness?"
Functional Correctness,"The ""capability of a product to provide accurate [and precise] results when used by intended users"" (ISO/IEC, 2023a)","Sub-quality of functional suitability (ISO/IEC, 2023a), which has an associated test type","A sub-quality of functional suitability (ISO/IEC, 2023a) and a synonym of accuracy (Hamburg and Mogyorodi, 2024), although the latter seems incomplete. Possible tradeoff between achieving fully and automating, at least in some contexts (Berdine et al., 2006, p. 116)"
Functional Safety,"""The absence of unreasonable risk due to hazards caused by malfunctioning behavior of Electric/Electronic(E/E) - Systems"" (Hamburg and Mogyorodi, 2024)","Sub-quality of safety, which may have an associated test type","A sub-quality of safety, but sometimes considered a synonym (Hamburg and Mogyorodi, 2024). See ISO 26262"
Generality,"The ""degree to which a system or component performs a broad range of functions"" (IEEE, 2017, p. 197)",,"Related to reusability (IEEE, 2017, p. 197)"
Immunity,"The ""degree to which a product or system is resistant to attack"" (IEEE, 2017, p. 214; OG ISO/IEC, 2011)",,"Related to integrity (IEEE, 2017, p. 214)"
Inclusivity,"The ""capability of a product to be utilised by people of various backgrounds … [including] people of various ages, abilities, cultures, ethnicities, languages, genders, economic situations, education, geographical locations and life situations"" (ISO/IEC, 2023a)","Sub-quality of accessibility (renamed to ""interaction capability"") (ISO/IEC, 2023a), which has an associated test type","A sub-quality of interaction capability (ISO/IEC, 2023a)"
Integrity,"The ""capability of a product to ensure that the state of its system and data are protected from unauthorized modification or deletion either by malicious action or computer error"" (ISO/IEC, 2023a)","Part of build verification testing is ""validat[ing] the integrity of each new build"" (Hamburg and Mogyorodi, 2024); sub-quality of security (ISO/IEC, 2023a; IEEE, 2017, pp. 375, 404), which has an associated test type","A sub-quality of security (ISO/IEC, 2023a; IEEE, 2017, pp. 375, 404) and related to immunity (IEEE, 2017, p. 231)"
Interaction Capability,"The ""capability of a product to be interacted with by specified users to exchange information between a user and a system via the user interface to complete the intended task"" (ISO/IEC, 2023a)","Prerequisite for usability (ISO/IEC, 2023a), which has an associated test type","""Focus[es] on a set of attributes that enable interaction by users (or operators) to complete specific tasks in a variety of contexts of use"", vs. usability, which ""focuses on outcomes of use to determine whether tasks are achieved by users with effectiveness, efficiency and satisfaction in a specific context of use"" (ISO/IEC, 2023a; see ISO/IEC 25019), although the latter seems to still be present in some sub-qualities (e.g., user assistance) (ISO/IEC, 2023a)"
Learnability,"The ""capability of a product to have specified users learn to use specified product functions within a specified amount of time"" (ISO/IEC, 2023a) or a product or system's ""suitability for learning"" (IEEE, 2017, p. 249)","Originally a sub-quality of usability (ISO/IEC, 2011), which has an associated test type","A sub-quality of interaction capability (ISO/IEC, 2023a). See ISO 9241‐110"
Manageability,"The ""degree to which IT infrastructure management can attain and keep an application in its operational state"" (IEEE, 2017, p. 262; OG ISO/IEC, 2015)",,"""Involves the transparency and manageability of applications from an infrastructure point of view"" (IEEE, 2017, p. 262)"
Maturity,"The ""degree to which a system, product or component meets needs for reliability under normal operation"" (ISO/IEC, 2011)","Sub-quality of reliability (Washizaki, 2024, p. 7-10; ISO/IEC, 2011; Hamburg and Mogyorodi, 2024), which has an associated test type","A sub-quality of reliability (Washizaki, 2024, p. 7-10; ISO/IEC, 2011; Hamburg and Mogyorodi, 2024). Replaced with ""faultlessness"" by ISO/IEC (2023a)"
Migratability,"The ""ability to change the configuration, substituting one reference point of an object for another while the object is being used""(IEEE, 2017, p. 276; OG ISO/IEC, 2009)",,"This definition is worded weirdly. Related to portability (IEEE, 2017, p. 276)"
Modifiability,"The ""capability of a product to be effectively and efficiently modified without introducing defects or degrading existing product quality"" (ISO/IEC, 2023a; similar in Washizaki, 2024, p. 7-10; IEEE, 2017, p. 280; OG IEEE, 2015; Hamburg and Mogyorodi, 2024)","Sub-quality of maintainability (ISO/IEC, 2023a; Washizaki, 2024, p. 7-10), which has an associated test type","Synonym of changeability (Hamburg and Mogyorodi, 2024). A sub-quality of maintainability (ISO/IEC, 2023a; Washizaki, 2024, p. 7-10); also related to analyzability and modularity (ISO/IEC, 2023a; IEEE, 2017, p. 280)"
Modularity,"The ""degree to which a system … is composed of discrete components such that a change to one component has minimal impact on other components"" (IEEE, 2017, p.  281; similar in Washizaki, 2024, p. 7-10 with a more vague definition of ""independent"" and ISO/IEC, 2023a)","Sub-quality of maintainability (ISO/IEC, 2023a; Washizaki, 2024, p. 7-10), which has an associated test type","A sub-quality of maintainability (ISO/IEC, 2023a; Washizaki, 2024, p. 7-10). Related to the idea of low coupling, high cohesion, and modifiability (IEEE, 2017, p. 281)"
Non-Repudiation,"The ""capability of a product to prove that actions or events have taken place, so that the events or actions cannot be repudiated later"" (ISO/IEC, 2023a)","Sub-quality of security (ISO/IEC, 2023a; IEEE, 2017, p. 404), which has an associated test type","A sub-quality of security (ISO/IEC, 2023a; IEEE, 2017, p. 404). See ISO 7498-2:1989"
Operability,"The ""capability of a product to have functions and attributes that make it easy to operate and control"" (ISO/IEC, 2023a)","Originally a sub-quality of usability (ISO/IEC, 2011), which has an associated test type","A sub-quality of interaction capability (ISO/IEC, 2023a) and ""related to controllability, user error robustness and conformity with user expectations"" (ISO/IEC, 2023a; see ISO 9241-110)"
Permanence,"The ""degree to which failures can affect object state changes due to completed transactions"" (IEEE, 2017, p. 320; OG ISO/IEC, 2009)",,
Pleasure,"The ""degree to which a user obtains pleasure from fulfilling their personal needs"" (ISO/IEC, 2011)",,
Precision,"The ""degree of exactness or discrimination with which a quantity is stated"" (IEEE, 2017, p. 331)",,"A sub-quality of correctness (ISO/IEC, 2023)"
Presentability,"The ability to ""be retrieved and viewed"" (IEEE, 2017, p. 333; OG IEEE, 2015)",,
(Product) Quality,"The ""degree to which the product satisfies stated and implied needs when used under specified conditions"" (IEEE, 2017, p. 345; OG ISO/IEC, 2012)",,
Readability,"The ""ease with which a system's source code can be read and understood, especially at the detailed, statement level"" (IEEE, 2017, p. 367)",,
Replaceability,"The ""capability of a product to replace another specified product for the same purpose in the same environment"" (ISO/IEC, 2023a; similar in IEEE, 2017, p. 377)","Sub-quality of flexibility (ISO/IEC, 2023a), which has an associated test type","A sub-quality of flexibility (ISO/IEC, 2023a). Can reduce lock-in risk (ISO/IEC, 2023a)"
Resistance,"The ""capability of a product to sustain operations while under attack from a malicious actor"" (ISO/IEC, 2023a)","Sub-quality of security (ISO/IEC, 2023a), which has an associated test type","A sub-quality of security (ISO/IEC, 2023a)"
Resource Utilization,"The ""capability of a product to use no more than the specified amount of resources to perform its function under specified conditions"" (ISO/IEC, 2023a)","Sub-quality of performance efficiency (ISO/IEC, 2023a), which has an associated test type, as well as another sub-quality (capacity) (ISO/IEC, 2023a)","A sub-quality of performance efficiency (ISO/IEC, 2023a). Hamburg and Mogyorodi (2024) say it's a synonym of ""storage"", but this seems incomplete"
Reusability,"The ""degree to which an asset can be used in more than one system, or in building other assets"" (IEEE, 2017, p. 387; OG 2010; similar in ISO/IEC, 2023a and Washizaki, 2024, p. 7-10)","Sub-quality of maintainability (ISO/IEC, 2023a; Washizaki, 2024, p. 7-10), which has an associated test type","A sub-quality of maintainability (ISO/IEC, 2023a; Washizaki, 2024, p. 7-10) and related to generality (IEEE, 2017, p. 387)"
Satisfaction,"The ""degree to which user needs are satisfied when a product or system is used in a specified context of use"" or ""the user’s response to interaction with the product or system"" (ISO/IEC, 2011)",,"Has the following sub-qualities: usefulness, trust, pleasure, comfort; ""includes attitudes towards use of the product"" (ISO/IEC, 2011)"
Self-Descriptiveness,"The ""capability of a product to present appropriate information … to make its [objectives, properties (IEEE, 2017, p. 407),] capabilities and use immediately obvious to the user without excessive interactions with a product or other resources[,] … includ[ing] user documentation, help desks, [and] other users"" (ISO/IEC, 2023a)",,"A subquality of interaction capability (ISO/IEC, 2023a) and related to ""maintainability, testability, usability"" (IEEE, 2017, p. 407) and potentially learnability and the idea of being self-documented?"
"Service Availability (Washizaki, 2024, p. 6-7)",,,Related to availability? A subset?
Service Continuity,"The ""capability to deliver a service without interruption, or with consistent availability as scheduled and agreed"" (IEEE, 2017, p. 411)",,A sub-quality of continuity? Related to service availability?
Simplicity,"The ""degree to which a system or component has a design and implementation that is straightforward and easy to understand"" (IEEE, 2017, p. 414)",,"Contrasted with complexity (IEEE, 2017, p. 414)"
"Supportability? (IEEE, 2017, p. 423)",,,
Survivability,"The ""degree to which a product or system continues to fulfill its mission by providing essential services in a timely manner in spite of the presence of attacks"" (IEEE, 2017, p. 450; OG ISO/IEC, 2011)",,"Related to recoverability (IEEE, 2017, p. 450)"
