Name | Approach Category | Definition | Parent(s) | Synonym(s) | Notes
0-Switch Testing | Technique (inferred from state transition testing and IEEE, 2021, p. 19) | Testing that "cover[s] valid single transitions in the state model" (IEEE, 2021, p. 19) | State Transition Testing (IEEE, 2021, p. 19) | Single Transition Testing (IEEE, 2021, p. 19) | 
1-Switch Testing | Technique (inferred from state transition testing and IEEE, 2021, pp. 19-20) | Testing "requires pairs of transitions to be exercised" (IEEE, 2021, p. 20) | N-Switch Testing (IEEE, 2021, p. 20) |  | 
A/B Testing | Practice (IEEE, 2022, p. 22), Type (implied by Firesmith, 2015, p. 58) | Testing "that allows testers to determine which of two systems or components performs better" (IEEE, 2022, p. 1) | Statistical Testing (IEEE, 2022, pp. 1, 35), Usability Testing (Firesmith, 2015, p. 58) | Split-Run Testing (IEEE, 2022, pp.1, 35) | "Not a test case generation technique as test inputs are not generated"; "us[es] the existing system as a partial oracle" (IEEE, 2022, p. 36)
Absolute Correctness Testing (implied by Lahiri et al., 2013, p. 345 and correctness testing) | Approach |  | Correctness Testing |  | 
Acceptance Testing | Level (IEEE, 2022, pp. 12, 21-22, 26-27; 2021, p. 6; 2017, p. 467; Washizaki, 2024, p. 5-7; Hamburg and Mogyorodi, 2024) | "Testing conducted to enable a user, customer, or other authorized entity to determine whether to accept a system or component" and whether it "satisfies its acceptance criteria" and/or "the contractual requirements are met" (IEEE, 2017, p. 5; similar in 2022, p. 13; 2021, p. 6) "with respect to user needs, requirements, and business processes" (Kam, 2008, p. 42) | Formal Testing (Kam, 2008, p. 42), System Testing (van Vliet, 2000, p. 439), V-Model Testing (Gerrard, 2000a, p. 9), W-Model Testing (Gerrard, 2000a, Figs. 3-5) | Qualification Testing (Bourque and Fairley, 2014, p. 4-6), AT (Firesmith, 2015, p. 30), Red-Box Testing (although this may be incorrect, since the other synonyms are; Sneed and Göschl, 2000, p. 18) | "May or may not involve the developers of the system" (Bourque and Fairley, 2014, p. 4-6), but "usually performed by the purchaser … with the … vendor" (IEEE, 2017, p. 5). Related to usability testing (van Vliet, 2000, p. 439) and validation testing (IEEE, 2017, p. 5). Note that IEEE (2017, p. 5) makes a distinction between "acceptance testing" and "an acceptance test"
Access Control Testing (Firesmith, 2015, p. 57) | Type (implied by Firesmith, 2015, p. 57) |  | Security Testing (Firesmith, 2015, p. 57) |  | 
Accessibility Testing | Type (IEEE, 2022, pp. 1, 22; implied by its quality (ISO/IEC, 2011) and by Firesmith, 2015, p. 58) | Testing "used to measure the degree to which a test item can be operated by users with the widest possible range of characteristics and abilities" (IEEE, 2022, p. 1; 2013, p. 2), including those with disabilities (Kam, 2008, p. 42; OG Gerrard) "to achieve a specified goal in a specified context of use" (ISO/IEC, 2011) | Usability Testing (IEEE, 2022, p.1 [although listed separately on p. 22]; ISO/IEC, 2011; Firesmith, 2015, p. 58) | User Assistance Testing? (ISO/IEC, 2023a; see ISO/IEC 25019) | Good to use when the software will be widely available or when it will be used by people with disabilities (IEEE, 2022, p. 45)
Acquisition Organization Testing (Firesmith, 2015, p. 37) | Practice? |  | Organization-based Testing (Firesmith, 2015, p. 37) |  | 
Ad Hoc Reviews | Approach | Reviews "performed informally without a structured process" (Hamburg and Mogyorodi, 2024) | Reviews |  | See ISO 20246
Ad Hoc Testing | Technique (Washizaki, 2024, p. 5-14) | Testing where "test cases are derived by relying on the software engineer's skill, intuition, and experience with similar programs" to "identify[] test cases that are not easily generated by more formalized techniques" (Washizaki, 2024, p. 5-14) "performed without test analysis [or] test design" (Hamburg and Mogyorodi, 2024) | Experience-based Testing (Washizaki, 2024, p. 5-14); Informal Testing (Hamburg and Mogyorodi, 2024) |  | Although this is sometimes called a "technique", it is one in which "no recognized test design technique is used" (Kam, 2008, p. 42)
Adaptive Random Testing | Technique (Washizaki, 2024, p. 5-12) | Random testing "in which other input selection criteria direct the random input sampling" (Washizaki, 2024, p. 5-12) | Random Testing (Washizaki, 2024, p. 5-12) |  | Kind of a vague definition; what are these criteria?
Adversarial Testing | Technique (Hamburg and Mogyorodi, 2024) | Testing "based on the attempted creation and execution of adversarial examples [("input[s] to an ML model … that result[] in the model outputting an incorrect result with high confidence")] to identify defects in an ML model" (Hamburg and Mogyorodi, 2024) | ML Model Testing |  | See ISO 29119-11
Agent-based Testing | Approach |  | Web Application Testing, Object-Oriented Testing, Data Flow Testing, Functional Testing, Specification-based Testing (usually) (Kam, 2008, Tab. 1) |  | 
