Name | Definition | Precedence for Test Approach | Synonym(s) | Notes
Accountability? | The "capability of a product to enable actions of an entity to be traced uniquely to the entity" (ISO/IEC, 2023a) | Subquality of security (ISO/IEC, 2023a; IEEE, 2021c, Tab. A.1; 2017, pp. 404-405; 2015, p. 8; OG NATO AEP-67), which has an associated test type |  | See ISO 7498-2:1989
Accuracy | A "qualitative assessment of correctness" or "quantitative measure of the magnitude of error" (IEEE, 2013, p. 7) |  |  | 
Adaptability | The "capability of a product to be effectively and efficiently adapted for or transferred to different hardware, software or other operational or usage environments" (ISO/IEC, 2023a) | Subquality of flexibility (ISO/IEC, 2023a; IEEE, 2021c, Tab. A.1), which has an associated test type |  | A subquality of replaceability (ISO/IEC, 2023a) and, at the very least, related to flexibility (IEEE, 2017, p. 12) and portability (Hamburg and Mogyorodi, 2024). Inclusivity and user assistance can improve this (and flexibility), and this can improve user assistance and interaction capability (ISO/IEC, 2023a)
Analyzability (IEEE, 2017, p. 18) or Analysability (ISO/IEC 2023a) | The "capability of a product to be effectively and efficiently assessed regarding the impact of an intended change to one or more of its parts, to diagnose it for deficiencies or causes of failures, or to identify parts to be modified" (ISO/IEC, 2023a; similar in Washizaki, 2024, p. 7-10) | Subquality of maintainability (ISO/IEC, 2023a; IEEE, 2021c, Tab. A.1; Washizaki, 2024, p. 7-10) which has an associated test type |  | Related to modifiability (IEEE, 2017, p. 18)
Appropriateness Recognizability | The "capability of a product to be recognized by users as appropriate for their needs … from initial impressions of the product or system and/or any associated documentation" (ISO/IEC, 2023a) | Related to usability (Hamburg and Mogyorodi, 2024), originally as a subquality (IEEE, 2021c, Tab. A.1; ISO/IEC, 2011), which has an associated test type | Understandability? (I disagree) (Hamburg and Mogyorodi, 2024) | A subquality of interaction capability (ISO/IEC, 2023a)
Assurance (IEEE, 2017, p. 361; 2015, p. 8) |  |  |  | 
Authenticity | The "capability of a product to prove that the identity of a subject or resource is the one claimed" (ISO/IEC 2023a) | Subquality of security (IEEE, 2021c, Tab. A.1; 2017, p. 404), which has an associated test type |  | See ISO/IEC 13335-1:2004
Behavioral Compatibility | "Identical behavior of two objects" (IEEE, 2017, p. 43; OG IEEE, 2009) | May be a subquality of compatibility, which has an associated test type |  | 
Changeability |  | Subquality of modifiability (ISO/IEC, 2023a) which is a subquality of maintainability (ISO/IEC, 2023a; Washizaki, 2024, p. 7-10) which has an associated test type |  | 
Cohesion | The "manner and degree to which the tasks performed by a single software module are related to one another" (IEEE, 2017, p. 74) |  | Module Strength (IEEE, 2017, p. 74) | Has the following subcategories: "coincidental, communicational, functional, logical, procedural, sequential, and temporal" (IEEE, 2017, p. 74); related to coupling (IEEE, 2017, p. 74)
Comfort | The "degree to which the user is satisfied with physical comfort" (ISO/IEC, 2011) |  |  | Probably more oriented towards hardware systems, but may include screen brightness, colour constrast, volume levels, etc.
Complexity | The "degree to which a system or component has a design or implementation that is difficult to understand and verify" (IEEE, 2017, p. 81) |  |  | A quality that software shouldn't have; constrasted with simplicity. Has the subcategory of "functional" (IEEE, 2017, p. 193)
Conciseness | The degree to which functions are implemented "with a minimum amount of code" (IEEE, 2017, p. 88) |  |  | 
Concurrency | The "property of a system in which events can occur independently of each other, and hence are not ordered" (IEEE, 2017, p. 88; OG ISO/IEC, 2004) |  |  | 
Confidentiality | The "capability of a product to ensure that data are accessible only to those authorized to have access" (ISO/IEC 2023a) | Subquality of security (ISO/IEC, 2023a; IEEE, 2021c, Tab. A.1; 2017, pp. 375, 404-405; 2015, p. 8; OG NATO AEP-67; Washizaki, 2024, p. 5-9), which has an associated test type. Subquality of dependability (IEEE, 2017, p. 375) |  | 
Connectivity | The "capability of a system or device to be attached to other systems or devices without modification" (IEEE, 2017, p. 93; OG ISO/IEC, 2015; similar in Hamburg and Mogyorodi, 2024) |  |  | See ISO 2382
Context Coverage | The "degree to which a product or system can be used with effectiveness, efficiency, freedom from risk and satisfaction in both specified contexts of use and in contexts beyond those initially explicitly identified" |  |  | Has the subqualities context completeness and flexibility (ISO/IEC, 2011)
Context Completeness | The "degree to which a product or system can be used with effectiveness, efficiency, freedom from risk and satisfaction in all the specified contexts of use" (ISO/IEC, 2011) |  |  | Implies the existence of a "completeness" supercategory, but is a subquality of "context coverage" (ISO/IEC, 2011)
Continuity (Washizaki, 2024, p. 6-7) |  | Given as a type of hardware testing (Firesmith, 2015, p. 21), which would make this an out-of-scope test approach  |  | 
